product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity,rev_lift,rev_lift_abs,units_lift,units_lift_abs
food_drink,40.27684,1500.098791,37.24469792,45.689026,2001.969331,43.81729167,-0.15,-5.4121857,-501.8705401,-0.11845702,-0.15,0.789713462,-501.8705401,501.8705401,-5.4121857,5.4121857
la_cuisine,9.762507,1613.986503,165.325,10.868097,2113.844972,194.5,-0.15,-1.1055899,-499.8584694,-0.10172801,-0.15,0.678186715,-499.8584694,499.8584694,-1.1055899,1.1055899
books_technical,61.581734,2594.244201,42.12684517,61.958138,3070.706948,49.56099432,-0.15,-0.3764038,-476.4627472,-0.006075131,-0.15,0.040500875,-476.4627472,476.4627472,-0.3764038,0.3764038
fashion_male_clothing,8.360651,804.4534973,96.219,10.764717,1150.855956,106.91,-0.1,-2.404066,-346.402459,-0.2233283,-0.1,2.233283073,-346.402459,346.402459,-2.404066,2.404066
christmas_supplies,24.941874,1356.556974,54.3887375,25.621706,1639.449712,63.98675,-0.15,-0.67983246,-282.8927378,-0.026533458,-0.15,0.176889723,-282.8927378,282.8927378,-0.67983246,0.67983246
fashion_underwear_beach,10.453079,621.180759,59.425625,12.395585,866.6063238,69.9125,-0.15,-1.9425058,-245.4255649,-0.15670949,-0.15,1.044729948,-245.4255649,245.4255649,-1.9425058,1.9425058
diapers_and_hygiene,6.660472,394.7270402,59.264125,8.836624,616.1115395,69.7225,-0.15,-2.1761522,-221.3844993,-0.24626511,-0.15,1.641767422,-221.3844993,221.3844993,-2.1761522,2.1761522
music,11.782338,755.2636115,64.10133333,12.876593,971.0667727,75.41333333,-0.15,-1.0942545,-215.8031612,-0.08498013,-0.15,0.566534201,-215.8031612,215.8031612,-1.0942545,1.0942545
security_and_services,3.465813,564.5523271,162.89175,5.2633886,745.532645,141.645,0.15,-1.7975757,-180.9803179,-0.34152442,0.15,-2.276829481,-180.9803179,180.9803179,-1.7975757,1.7975757
audio,67.83298,6014.436665,88.665375,62.563835,6163.606795,98.51708333,-0.1,5.269142,-149.1701302,0.08422025,-0.1,-0.842202529,-149.1701302,149.1701302,5.269142,5.269142
party_supplies,10.351116,796.0579811,76.90552083,10.096491,913.5010611,90.47708333,-0.15,0.25462532,-117.44308,0.025219189,-0.15,-0.168127927,-117.44308,117.44308,0.25462532,0.25462532
cds_dvds_musicals,6.117194,357.8558663,58.5,7.2799373,473.1959301,65.0,-0.1,-1.1627431,-115.3400639,-0.15971884,-0.1,1.597188413,-115.3400639,115.3400639,-1.1627431,1.1627431
cine_photo,11.896726,592.9150706,49.83851042,11.930591,699.5327723,58.63354167,-0.15,-0.033864975,-106.6177017,-0.002838499,-0.15,0.018923329,-106.6177017,106.6177017,-0.033864975,0.033864975
fashion_childrens_clothes,5.318387,251.2459161,47.241,6.3433404,332.9619343,52.49,-0.1,-1.0249534,-81.71601818,-0.16157943,-0.1,1.615794301,-81.71601818,81.71601818,-1.0249534,1.0249534
fashion_sport,7.238136,476.1969592,65.79,7.057315,546.2361712,77.4,-0.15,0.18082094,-70.03921198,0.025621776,-0.15,-0.170811837,-70.03921198,70.03921198,0.18082094,0.18082094
flowers,8.614011,322.7955168,37.4733125,8.874908,391.2614457,44.08625,-0.15,-0.26089764,-68.46592891,-0.02939722,-0.15,0.195981463,-68.46592891,68.46592891,-0.26089764,0.26089764
art,5.032308,498.7612671,99.11183333,6.2517896,563.2966867,90.10166667,0.1,-1.2194815,-64.53541966,-0.19506118,0.1,-1.95061177,-64.53541966,64.53541966,-1.2194815,1.2194815
fashio_female_clothing,11.28413,353.5910469,31.33525,11.0826845,408.5631669,36.865,-0.15,0.20144558,-54.97211997,0.018176606,-0.15,-0.121177373,-54.97211997,54.97211997,0.20144558,0.20144558
dvds_blu_ray,9.353107,375.7137562,40.1699375,9.0743475,428.8423282,47.25875,-0.15,0.27875996,-53.12857202,0.03071956,-0.15,-0.204797064,-53.12857202,53.12857202,0.27875996,0.27875996
tablets_printing_image,6.9988275,401.2427781,57.33,6.8222346,434.5763498,63.7,-0.1,0.17659283,-33.33357163,0.025884895,-0.1,-0.258848947,-33.33357163,33.33357163,0.17659283,0.17659283
furniture_mattress_and_upholstery,6.866894,671.0929677,97.72875,5.9635043,685.6539017,114.975,-0.15,0.90338945,-14.56093404,0.15148634,-0.15,-1.009908915,-14.56093404,14.56093404,0.90338945,0.90338945
