product_category_name_english,scenario,rev_lift,units_lift,revenue0,revenue,units0,units,price0,price,elasticity,within_10pct,positive_lift,recommended,__scenario__,price_s,units_s,unit_cost,profit0,profit_best,profit_lift
luggage_accessories,0,0,0,9669.359595,,92.807927,,104.1867865,,,TRUE,TRUE,TRUE,0,,,67.72141123,3384.275887,,
market_place,0,0,0,4431.814776,,36.4872281,,121.4620833,,,TRUE,TRUE,TRUE,0,,,78.95035415,1551.135159,,
musical_instruments,0,0,0,20089.68822,,82.0978705,,244.7041319,,,TRUE,TRUE,TRUE,0,,,159.0576857,7031.390846,,
office_furniture,0,0,0,20897.02188,,93.466986,,223.5765038,,,TRUE,TRUE,TRUE,0,,,145.3247275,7313.957683,,
party_supplies,0,0,0,913.5010611,,10.0964912,,90.47708333,,,TRUE,TRUE,TRUE,0,,,58.81010416,319.7253765,,
perfumery,0,0,0,29835.23769,,266.639274,,111.8936351,,,TRUE,TRUE,TRUE,0,,,72.73086282,10442.33317,,
pet_shop,0,0,0,27621.24978,,218.35555,,126.4966688,,,TRUE,TRUE,TRUE,0,,,82.22283472,9667.437391,,
small_appliances,0,0,0,19557.95896,,73.264553,,266.9498125,,,TRUE,TRUE,TRUE,0,,,173.5173781,6845.28554,,
small_appliances_home_oven_and_coffee,0,0,0,6202.742132,,27.9336404,,222.0527679,,,TRUE,TRUE,TRUE,0,,,144.3342991,2170.959759,,
sports_leisure,0,0,0,47118.32923,,444.088094,,106.1013119,,,TRUE,TRUE,TRUE,0,,,68.96585274,16491.41528,,
stationery,0,0,0,19511.21728,,216.834755,,89.98196479,,,TRUE,TRUE,TRUE,0,,,58.48827711,6828.926051,,
telephony,0,0,0,33346.70957,,256.9305,,129.7888322,,,TRUE,TRUE,TRUE,0,,,84.36274093,11671.34834,,
toys,0,0,0,22713.29724,,218.773928,,103.8208596,,,TRUE,TRUE,TRUE,0,,,67.48355874,7949.654042,,
unknown,0,0,0,7438.606927,,60.1269779,,123.7149643,,,TRUE,TRUE,TRUE,0,,,80.4147268,2603.512424,,
watches_gifts,0,0,0,80390.0285,,477.127966,,168.4873547,,,TRUE,TRUE,TRUE,0,,,109.5167806,28136.5101,,
