order_week,product_category_name_english,avg_price,units_base,revenue_base,units_cal,revenue_cal,scenario
17-09-2018,housewares,85.00476298,91.26004,7757.538094,91.26004,7757.538094,-0.15
17-09-2018,industry_commerce_and_business,223.108,2.9881086,666.6709413,2.9881086,666.6709413,-0.15
17-09-2018,kitchen_dining_laundry_garden_furniture,115.7618036,2.938963,340.2196501,2.938963,340.2196501,-0.15
17-09-2018,la_cuisine,165.325,1.4759107,244.0049305,1.4759107,244.0049305,-0.15
17-09-2018,luggage_accessories,88.55876857,12.871272,1139.864006,12.871272,1139.864006,-0.15
17-09-2018,market_place,103.2427708,4.370318,451.2037331,4.370318,451.2037331,-0.15
17-09-2018,music,64.10133333,2.2803469,146.1732749,2.2803469,146.1732749,-0.15
17-09-2018,musical_instruments,207.9985122,9.256726,1925.385291,9.256726,1925.385291,-0.15
17-09-2018,office_furniture,190.0400282,12.558277,2386.57534,12.558277,2386.57534,-0.15
17-09-2018,party_supplies,76.90552083,1.6534286,127.1577841,1.6534286,127.1577841,-0.15
17-09-2018,perfumery,95.10958982,39.408993,3748.173137,39.408993,3748.173137,-0.15
17-09-2018,pet_shop,107.5221685,34.838974,3745.962031,34.838974,3745.962031,-0.15
17-09-2018,security_and_services,120.39825,0.06824387,8.216442359,0.06824387,8.216442359,-0.15
17-09-2018,signaling_and_security,72.5239125,4.362067,316.3541816,4.362067,316.3541816,-0.15
17-09-2018,small_appliances,226.9073406,8.032209,1822.567273,8.032209,1822.567273,-0.15
17-09-2018,small_appliances_home_oven_and_coffee,188.7448527,4.6088023,869.8877146,4.6088023,869.8877146,-0.15
17-09-2018,sports_leisure,90.18611508,79.02826,7127.251686,79.02826,7127.251686,-0.15
17-09-2018,stationery,76.48467007,32.80791,2509.302242,32.80791,2509.302242,-0.15
17-09-2018,tablets_printing_image,54.145,0.99940234,54.11263993,0.99940234,54.11263993,-0.15
17-09-2018,telephony,110.3205074,38.76317,4276.3724,38.76317,4276.3724,-0.15
17-09-2018,toys,88.24773068,30.867151,2723.956051,30.867151,2723.956051,-0.15
17-09-2018,unknown,105.1577196,7.4427347,782.6610109,7.4427347,782.6610109,-0.15
17-09-2018,watches_gifts,143.2142515,84.508484,12102.81926,84.508484,12102.81926,-0.15
24-09-2018,agro_industry_and_commerce,161.8348056,5.293629,856.6934473,5.293629,856.6934473,-0.15
24-09-2018,air_conditioning,159.3406458,4.7585096,758.2239986,4.7585096,758.2239986,-0.15
24-09-2018,art,76.58641667,0.95779055,73.35374642,0.95779055,73.35374642,-0.15
24-09-2018,arts_and_craftmanship,67.17056696,2.605587,175.0187564,2.605587,175.0187564,-0.15
24-09-2018,audio,83.73952083,9.349254,782.9020212,9.349254,782.9020212,-0.15
24-09-2018,auto,102.0821545,49.72493,5076.027967,49.72493,5076.027967,-0.15
24-09-2018,baby,83.22830612,29.460657,2451.960589,29.460657,2451.960589,-0.15
24-09-2018,bed_bath_table,78.78672239,74.63835,5880.511074,74.63835,5880.511074,-0.15
24-09-2018,books_general_interest,38.33530782,8.680682,332.7766235,8.680682,332.7766235,-0.15
24-09-2018,books_imported,184.664625,1.1093203,204.8522141,1.1093203,204.8522141,-0.15
24-09-2018,books_technical,42.12684517,7.191386,302.950414,7.191386,302.950414,-0.15
24-09-2018,cds_dvds_musicals,55.25,1.001109,55.31127247,1.001109,55.31127247,-0.15
24-09-2018,christmas_supplies,54.3887375,3.4206667,186.0457429,3.4206667,186.0457429,-0.15
24-09-2018,cine_photo,49.83851042,2.180784,108.6870255,2.180784,108.6870255,-0.15
24-09-2018,computers,715.540625,2.9855776,2136.30205,2.9855776,2136.30205,-0.15
24-09-2018,computers_accessories,78.78928326,52.047768,4100.806307,52.047768,4100.806307,-0.15
24-09-2018,consoles_games,87.03150759,12.123558,1055.131534,12.123558,1055.131534,-0.15
24-09-2018,construction_tools_construction,119.1054115,38.729332,4612.873023,38.729332,4612.873023,-0.15
24-09-2018,construction_tools_lights,116.9402615,11.694782,1367.590895,11.694782,1367.590895,-0.15
24-09-2018,construction_tools_safety,130.6071042,5.4690027,714.2906084,5.4690027,714.2906084,-0.15
24-09-2018,cool_stuff,115.9558693,15.516798,1799.263804,15.516798,1799.263804,-0.15
24-09-2018,costruction_tools_garden,93.94279688,1.7223123,161.7988375,1.7223123,161.7988375,-0.15
24-09-2018,costruction_tools_tools,99.67471875,2.483123,247.504593,2.483123,247.504593,-0.15
24-09-2018,diapers_and_hygiene,59.264125,0.7436108,44.06944336,0.7436108,44.06944336,-0.15
24-09-2018,drinks,41.5195191,4.3328333,179.8971545,4.3328333,179.8971545,-0.15
24-09-2018,dvds_blu_ray,40.1699375,0.9949114,39.96552766,0.9949114,39.96552766,-0.15
24-09-2018,electronics,80.76550124,24.90039,2011.09253,24.90039,2011.09253,-0.15
24-09-2018,fashio_female_clothing,31.33525,1.4788972,46.34161392,1.4788972,46.34161392,-0.15
24-09-2018,fashion_bags_accessories,55.15862768,27.2314,1502.046628,27.2314,1502.046628,-0.15
24-09-2018,fashion_childrens_clothes,44.6165,0.62575614,27.91904902,0.62575614,27.91904902,-0.15
24-09-2018,fashion_male_clothing,90.8735,1.2653229,114.9843227,1.2653229,114.9843227,-0.15
24-09-2018,fashion_shoes,147.05,1.8897392,277.8861429,1.8897392,277.8861429,-0.15
