product_category_name_english,base_units,cal_units,base_rev,cal_rev,Δunits,Δrevenue
dvds_blu_ray,9.0743476,6.97241910596383,428.8423281786591,329.5078114239681,-2.1019284940361693,-99.33451675469098
market_place,36.4872281,35.33354628016562,4431.814775740306,4291.686142743667,-1.1536818198343823,-140.12863299663877
fixed_telephony,49.8566586,48.97662747871464,13228.695698534051,12995.193045136633,-0.8800311212853629,-233.50265339741782
pet_shop,218.35555,216.200721457935,27621.2497818006,27348.671052539205,-2.1548285420649904,-272.5787292613968
kitchen_dining_laundry_garden_furniture,28.8941132,25.952027021557626,3935.0995774866856,3534.415828647013,-2.9420861784423735,-400.6837488396727
party_supplies,10.096491199999999,5.401296346845323,913.5010610916961,488.69353968155315,-4.6951948531546766,-424.80752141014295
home_confort,60.3042572,56.834593804012364,7430.9130266578495,7003.368226095055,-3.469663395987638,-427.5448005627941
books_imported,10.635729699999999,8.632127699266343,2310.638847296387,1875.3513229848613,-2.0036020007336557,-435.2875243115259
costruction_tools_garden,15.989724200000001,11.02931914434586,1767.1993176208066,1218.9706918198024,-4.960405055654141,-548.2286258010042
consoles_games,92.7938606,86.66814729359051,9501.164344976089,8873.952375213477,-6.125713306409494,-627.2119697626113
musical_instruments,82.0978705,79.49670659223344,20089.688215139937,19453.172579094677,-2.601163907766562,-636.5156360452602
food,143.637215,130.9240475094868,9936.61109527105,9057.13296398641,-12.7131674905132,-879.478131284639
drinks,48.0061501,28.346952252833844,2344.9320845989055,1384.6492063642136,-19.659197847166155,-960.2828782346919
unknown,60.1269779,51.370190807544276,7438.606926046576,6355.261321105668,-8.756787092455724,-1083.3456049409078
small_appliances_home_oven_and_coffee,27.933640399999998,22.453365361384158,6202.742131978039,4985.831926203049,-5.48027503861584,-1216.9102057749897
construction_tools_lights,99.0908575,88.34264466116733,13632.600924589566,12153.89643003185,-10.748212838832671,-1478.7044945577163
furniture_living_room,76.549312,64.44163919934087,9470.963587821045,7972.95753200282,-12.107672800659131,-1498.006055818225
office_furniture,93.46698599999999,86.19180627994923,20897.021880297914,19270.46270077842,-7.275179720050758,-1626.559179519496
air_conditioning,31.4535651,21.553471038616937,5896.272167179883,4040.404700286198,-9.900094061383061,-1855.8674668936847
luggage_accessories,92.807927,74.76570156788,9669.35959482607,7789.598190491853,-18.042225432120006,-1879.7614043342173
home_appliances,114.694032,92.26987475964535,10038.883845577995,8076.152992464488,-22.42415724035466,-1962.7308531135068
agro_industry_and_commerce,40.9334962,28.771027213987583,7793.487443556389,5477.827758599151,-12.162468986012417,-2315.659684957238
electronics,218.288559,192.96883851203398,20741.393976767773,18335.558784606357,-25.31972048796601,-2405.8351921614158
computers,27.8996783,24.613613396002712,23486.297679528594,20720.047426922534,-3.286064903997289,-2766.25025260606
stationery,216.834755,179.73563812479782,19511.217283919807,16172.965860685297,-37.099116875202185,-3338.2514232345093
garden_tools,211.440114,170.89316479665973,23767.306505699027,19209.553626717687,-40.54694920334026,-4557.7528789813405
home_appliances_2,42.2515415,33.1200518421792,22421.71713359078,17575.889671201563,-9.1314896578208,-4845.8274623892175
toys,218.773928,171.0062901087286,22713.297235733826,17754.020040031042,-47.76763789127142,-4959.2771957027835
cool_stuff,162.248205,124.03174312434854,22133.68419858619,16920.24540993675,-38.216461875651476,-5213.4387886494405
watches_gifts,477.127966,446.0253827352007,80390.02849819181,75149.6368540528,-31.102583264799307,-5240.391644139003
home_construction,62.312906,25.46300525771509,11160.807866243598,4560.655741494947,-36.84990074228491,-6600.152124748652
perfumery,266.639274,205.4336466515296,29835.237690320148,22986.71749200269,-61.20562734847039,-6848.520198317459
baby,236.468138,157.74695366529792,23153.93260404477,15445.896174807647,-78.72118433470209,-7708.036429237123
