order_week,product_category_name_english,avg_price,planned_price,price_for_revenue,units_base,units_cal,revenue_base_price,revenue_cal_price
2018-09-10,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,2.1334045,2.1334045,125.0890616426042,125.0890616426042
2018-09-17,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,2.0809603,2.0809603,122.01407245672918,122.01407245672918
2018-09-24,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,1.9550515,1.9550515,114.63159358572918,114.63159358572918
2018-10-01,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,1.3979775,1.3979775,81.96837199531251,81.96837199531251
2018-10-08,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,1.3700088,1.3700088,80.32846805850001,80.32846805850001
2018-10-15,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,1.3135648,1.3135648,77.01895643266667,77.01895643266667
2018-10-22,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,1.0263773,1.0263773,60.18013618527084,60.18013618527084
2018-10-29,cine_photo,58.63354166666667,58.63354166666667,58.63354166666667,0.65324575,0.65324575,38.30211190119792,38.30211190119792
2018-09-10,computers,841.8125,925.99375,925.99375,4.134701,4.134701,3828.7072841187496,3828.7072841187496
2018-09-17,computers,841.8125,925.99375,925.99375,2.5314174,2.5314174,2344.07669104125,2344.07669104125
2018-09-24,computers,841.8125,925.99375,925.99375,3.1007283,3.1007283,2871.255026248125,2871.255026248125
2018-10-01,computers,841.8125,925.99375,925.99375,4.444777,4.444777,4115.83572214375,4115.83572214375
2018-10-08,computers,841.8125,925.99375,925.99375,3.117606,3.117606,2886.8836709624998,2886.8836709624998
2018-10-15,computers,841.8125,925.99375,925.99375,3.0089111,3.0089111,2786.2328729056253,2786.2328729056253
2018-10-22,computers,841.8125,925.99375,925.99375,3.81144,3.81144,3529.3696185,3529.3696185
2018-10-29,computers,841.8125,925.99375,925.99375,3.7500975,3.7500975,3472.5668468906247,3472.5668468906247
2018-09-10,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,69.34762,69.34762,5930.467659809219,5930.467659809219
2018-09-17,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,69.14985,69.14985,5913.554770959097,5913.554770959097
2018-09-24,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,50.562695,50.562695,4324.019014499665,4324.019014499665
2018-10-01,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,59.775547,59.775547,5111.883411873486,5111.883411873486
2018-10-08,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,52.338676,52.338676,4475.897303688763,4475.897303688763
2018-10-15,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,45.41536,45.41536,3883.8293763880174,3883.8293763880174
2018-10-22,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,48.238674,48.238674,4125.273457244529,4125.273457244529
2018-10-29,computers_accessories,92.6932744216227,85.51796961177931,85.51796961177931,40.624973,40.624973,3474.1652064933546,3474.1652064933546
2018-09-10,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,16.469013,16.469013,1189.1915498088215,1189.1915498088215
2018-09-17,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,13.827107,13.827107,998.42527312975,998.42527312975
2018-09-24,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,12.06867,12.06867,871.4523682403571,871.4523682403571
2018-10-01,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,12.519795,12.519795,904.0271216823215,904.0271216823215
2018-10-08,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,10.119255,10.119255,730.6893580301787,730.6893580301787
2018-10-15,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,10.653669,10.653669,769.2782287111073,769.2782287111073
2018-10-22,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,9.938766,9.938766,717.6566405483571,717.6566405483571
2018-10-29,consoles_games,102.39000892857143,72.20782142857144,72.20782142857144,7.1975856,7.1975856,519.7219757216571,519.7219757216571
2018-09-10,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,28.901953,28.901953,3593.151655127038,3593.151655127038
2018-09-17,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,37.461353,37.461353,4657.2742864555985,4657.2742864555985
2018-09-24,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,39.38622,39.38622,4896.577805043059,4896.577805043059
2018-10-01,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,34.66541,34.66541,4309.67676534376,4309.67676534376
2018-10-08,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,35.132687,35.132687,4367.769625918018,4367.769625918018
2018-10-15,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,35.531208,35.531208,4417.314595794376,4417.314595794376
2018-10-22,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,35.004402,35.004402,4351.820964591292,4351.820964591292
2018-10-29,construction_tools_construction,140.12401357136838,124.32210567663154,124.32210567663154,35.366714,35.366714,4396.864355343204,4396.864355343204
2018-09-10,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,15.587538,15.587538,1579.1329970403285,1579.1329970403285
2018-09-17,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,11.9917555,11.9917555,1214.853609498167,1214.853609498167
2018-09-24,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,11.818917,11.818917,1197.343789890417,1197.343789890417
2018-10-01,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,12.105453,12.105453,1226.3720079733462,1226.3720079733462
2018-10-08,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,12.397005,12.397005,1255.9083839907198,1255.9083839907198
2018-10-15,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,12.364825,12.364825,1252.648311755787,1252.648311755787
2018-10-22,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,11.679263,11.679263,1183.195805804112,1183.195805804112
2018-10-29,construction_tools_lights,137.5767781986532,101.3074031986532,101.3074031986532,11.146101,11.146101,1129.1825480999116,1129.1825480999116
2018-09-10,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,5.5843425,5.5843425,858.0644736468751,858.0644736468751
2018-09-17,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,6.8302865,6.8302865,1049.5105181102083,1049.5105181102083
2018-09-24,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,5.3207264,5.3207264,817.5584319613333,817.5584319613333
2018-10-01,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,4.931037,4.931037,757.68054483375,757.68054483375
2018-10-08,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,6.1465516,6.1465516,944.4509471611666,944.4509471611666
2018-10-15,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,4.8938513,4.8938513,751.9667606062083,751.9667606062083
2018-10-22,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,5.6698675,5.6698675,871.2058531572916,871.2058531572916
2018-10-29,construction_tools_safety,153.65541666666667,153.65541666666667,153.65541666666667,5.639715,5.639715,866.57275820625,866.57275820625
2018-09-10,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,26.513792,26.513792,3225.4290780148763,3225.4290780148763
2018-09-17,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,23.499252,23.499252,2858.7072989182097,2858.7072989182097
2018-09-24,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,19.144623,19.144623,2328.96236463771,2328.96236463771
2018-10-01,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,22.072405,22.072405,2685.129947037412,2685.129947037412
2018-10-08,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,19.624306,19.624306,2387.3162770629647,2387.3162770629647
2018-10-15,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,16.825144,16.825144,2046.7954451550174,2046.7954451550174
2018-10-22,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,18.755476,18.755476,2281.6222463542804,2281.6222463542804
2018-10-29,cool_stuff,136.41866979949873,121.65099122807015,121.65099122807015,15.813207,15.813207,1923.6923060446577,1923.6923060446577
2018-09-10,costruction_tools_garden,110.5209375,116.046984375,116.046984375,2.4802327,2.4802327,287.82352538326404,287.82352538326404
2018-09-17,costruction_tools_garden,110.5209375,116.046984375,116.046984375,1.4951428,1.4951428,173.50681314999375,173.50681314999375
2018-09-24,costruction_tools_garden,110.5209375,116.046984375,116.046984375,1.688958,1.688958,195.99848263603124,195.99848263603124
2018-10-01,costruction_tools_garden,110.5209375,116.046984375,116.046984375,1.7193538,1.7193538,199.52582356369686,199.52582356369686
2018-10-08,costruction_tools_garden,110.5209375,116.046984375,116.046984375,1.863871,1.863871,216.29660881401563,216.29660881401563
2018-10-15,costruction_tools_garden,110.5209375,116.046984375,116.046984375,2.4054494,2.4054494,279.14514893665313,279.14514893665313
2018-10-22,costruction_tools_garden,110.5209375,116.046984375,116.046984375,1.888192,1.888192,219.118987521,219.118987521
2018-10-29,costruction_tools_garden,110.5209375,116.046984375,116.046984375,2.4485245,2.4485245,284.1438843933047,284.1438843933047
2018-09-10,costruction_tools_tools,117.264375,117.264375,117.264375,2.526,2.526,296.20981125,296.20981125
2018-09-17,costruction_tools_tools,117.264375,117.264375,117.264375,3.5332215,3.5332215,414.3210109340625,414.3210109340625
2018-09-24,costruction_tools_tools,117.264375,117.264375,117.264375,2.581237,2.581237,302.687143531875,302.687143531875
2018-10-01,costruction_tools_tools,117.264375,117.264375,117.264375,2.5963507,2.5963507,304.4594421163125,304.4594421163125
2018-10-08,costruction_tools_tools,117.264375,117.264375,117.264375,3.4478006,3.4478006,404.30418248362497,404.30418248362497
