order_week,product_category_name_english,cat_key,base_price,applied_pct,planned_price
2018-10-01,cine_photo,cine_photo,58.63354166666667,0.0,58.63354166666667
2018-10-01,computers,computers,841.8125,0.1,925.9937500000001
2018-10-01,computers_accessories,computers_accessories,85.51796961177931,0.0,85.51796961177931
2018-10-01,consoles_games,consoles_games,72.20782142857144,0.0,72.20782142857144
2018-10-01,construction_tools_construction,construction_tools_construction,124.32210567663154,0.0,124.32210567663154
2018-10-01,construction_tools_lights,construction_tools_lights,101.3074031986532,0.0,101.3074031986532
2018-10-01,construction_tools_safety,construction_tools_safety,153.65541666666667,0.0,153.65541666666667
2018-10-01,cool_stuff,cool_stuff,121.65099122807015,0.0,121.65099122807015
2018-10-01,costruction_tools_garden,costruction_tools_garden,110.5209375,0.05,116.04698437500001
2018-10-01,costruction_tools_tools,costruction_tools_tools,117.264375,0.0,117.264375
2018-10-01,diapers_and_hygiene,diapers_and_hygiene,69.7225,0.0,69.7225
2018-10-01,drinks,drinks,43.16420138888889,0.0,43.16420138888889
2018-10-01,dvds_blu_ray,dvds_blu_ray,47.25875,0.0,47.25875
2018-10-01,electronics,electronics,95.01823675775978,0.0,95.01823675775978
2018-10-01,fashio_female_clothing,fashio_female_clothing,36.865,0.0,36.865
2018-10-01,fashion_bags_accessories,fashion_bags_accessories,63.02113952020202,0.0,63.02113952020202
2018-10-01,fashion_childrens_clothes,fashion_childrens_clothes,52.489999999999995,0.0,52.489999999999995
2018-10-01,fashion_male_clothing,fashion_male_clothing,106.91,0.0,106.91
2018-10-01,fashion_shoes,fashion_shoes,173.0,0.0,173.0
2018-10-01,fashion_sport,fashion_sport,77.4,0.0,77.4
2018-10-01,fashion_underwear_beach,fashion_underwear_beach,69.9125,0.0,69.9125
2018-10-01,fixed_telephony,fixed_telephony,265.33458333333334,0.0,265.33458333333334
2018-10-01,flowers,flowers,44.08625,0.0,44.08625
2018-10-01,food,food,69.17852859177859,0.0,69.17852859177859
2018-10-01,food_drink,food_drink,43.81729166666667,0.0,43.81729166666667
2018-10-01,furniture_bedroom,furniture_bedroom,167.35,0.0,167.35
2018-10-01,furniture_decor,furniture_decor,92.95113070077865,0.0,92.95113070077865
