product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity
security_and_services,4.848262,583.7222124,120.39825,5.2633886,745.532645,141.645,-0.15,-0.4151268,-161.8104326,-0.07887063,-0.15,0.525804212
signaling_and_security,38.997646,2828.261821,72.5239125,45.213852,3857.747659,85.32225,-0.15,-6.2162056,-1029.485838,-0.13748454,-0.15,0.91656357
small_appliances,73.19368,16608.18291,226.9073406,73.26456,19557.95896,266.9498125,-0.15,-0.070877075,-2949.776048,-0.000967413,-0.15,0.006449419
small_appliances_home_oven_and_coffee,25.35779,4786.152247,188.7448527,27.93364,6202.742132,222.0527679,-0.15,-2.5758495,-1416.589885,-0.092213176,-0.15,0.614754508
sports_leisure,492.76062,44440.16462,90.18611508,444.0881,47118.32923,106.1013119,-0.15,48.672516,-2678.164611,0.109601036,-0.15,-0.730673571
stationery,228.38206,17467.72673,76.48467007,216.83475,19511.21728,89.98196479,-0.15,11.5473175,-2043.490552,0.053254,-0.15,-0.355026672
tablets_printing_image,7.6595273,414.7251025,54.145,6.8222346,434.5763498,63.7,-0.15,0.8372927,-19.85124724,0.12272997,-0.15,-0.818199813
telephony,254.69556,28098.14199,110.3205074,256.9305,33346.70957,129.7888322,-0.15,-2.2349548,-5248.567576,-0.008698674,-0.15,0.057991159
toys,238.05809,21008.08606,88.24773068,218.77393,22713.29724,103.8208596,-0.15,19.284164,-1705.211173,0.08814654,-0.15,-0.587643584
unknown,63.4803,6675.443535,105.1577196,60.126976,7438.606926,123.7149643,-0.15,3.353325,-763.1633912,0.05577072,-0.15,-0.371804809
watches_gifts,466.79407,66851.5635,143.2142515,477.12796,80390.0285,168.4873547,-0.15,-10.333893,-13538.465,-0.021658536,-0.15,0.14439024
agro_industry_and_commerce,32.64579,5594.002917,171.3545,40.933495,7793.487444,190.3938889,-0.1,-8.287704,-2199.484526,-0.20246755,-0.1,2.024675459
air_conditioning,39.538,6670.599243,168.713625,31.453566,5896.272167,187.4595833,-0.1,8.084433,774.3270756,0.25702754,-0.1,-2.570275366
art,10.703829,867.9895486,81.0915,6.2517896,563.2966867,90.10166667,-0.1,4.4520392,304.6928618,0.7121224,-0.1,-7.121223807
arts_and_craftmanship,21.069546,1498.503597,71.12177679,23.798225,1880.635695,79.02419643,-0.1,-2.7286797,-382.1320981,-0.11465895,-0.1,1.146589518
audio,67.83298,6014.436665,88.665375,62.563835,6163.606795,98.51708333,-0.1,5.269142,-149.1701302,0.08422025,-0.1,-0.842202529
auto,432.12466,46707.05384,108.0869871,431.6524,51840.00879,120.0966523,-0.1,0.47225952,-5132.954945,0.001094074,-0.1,-0.010940736
baby,246.31601,21706.37407,88.12408883,236.46814,23153.9326,97.91565425,-0.1,9.84787,-1447.558533,0.041645654,-0.1,-0.416456535
bed_bath_table,639.1089,53315.25548,83.42123547,578.4978,53621.11163,92.69026163,-0.1,60.611084,-305.8561533,0.10477323,-0.1,-1.047732309
books_general_interest,76.18902,3092.537121,40.59032592,78.29363,3531.071179,45.10036214,-0.1,-2.1046143,-438.5340579,-0.02688104,-0.1,0.268810391
books_imported,10.329654,2019.728871,195.52725,10.63573,2310.638847,217.2525,-0.1,-0.30607605,-290.9099765,-0.028778095,-0.1,0.287780948
books_technical,62.303627,2779.046734,44.60489489,61.958138,3070.706948,49.56099432,-0.1,0.3454895,-291.6602145,0.005576177,-0.1,-0.055761766
cds_dvds_musicals,6.117194,357.8558663,58.5,7.2799373,473.1959301,65,-0.1,-1.1627431,-115.3400639,-0.15971884,-0.1,1.597188413
christmas_supplies,25.370731,1461.051635,57.588075,25.621706,1639.449712,63.98675,-0.1,-0.25097466,-178.3980773,-0.009795392,-0.1,0.097953919
cine_photo,12.779044,674.3525748,52.7701875,11.930591,699.5327723,58.63354167,-0.1,0.8484535,-25.1801975,0.0711158,-0.1,-0.711157992
computers,28.879482,21879.99843,757.63125,27.899677,23486.29768,841.8125,-0.1,0.979805,-1606.299248,0.035118863,-0.1,-0.35118863
computers_accessories,464.05475,38713.2781,83.42394698,435.4534,40363.60077,92.69327442,-0.1,28.601349,-1650.322664,0.06568177,-0.1,-0.656817704
consoles_games,97.19594,8956.70385,92.15100804,92.79386,9501.164345,102.3900089,-0.1,4.4020767,-544.4604954,0.04743931,-0.1,-0.474393107
construction_tools_construction,274.07306,34563.79366,126.1116122,281.44995,39437.89598,140.1240136,-0.1,-7.376892,-4874.102314,-0.026210316,-0.1,0.262103155
construction_tools_lights,92.26696,11424.412,123.8191004,99.09086,13632.60092,137.5767782,-0.1,-6.8238983,-2208.188925,-0.06886506,-0.1,0.688650608
construction_tools_safety,42.09316,5821.057658,138.289875,45.016376,6917.010307,153.6554167,-0.1,-2.9232178,-1095.952649,-0.064936765,-0.1,0.649367645
cool_stuff,150.58727,18488.62365,122.7768028,162.2482,22133.6842,136.4186698,-0.1,-11.660934,-3645.060552,-0.07187096,-0.1,0.718709603
costruction_tools_garden,11.629791,1156.801937,99.46884375,15.989724,1767.199318,110.5209375,-0.1,-4.359933,-610.3973805,-0.27267092,-0.1,2.726709247
costruction_tools_tools,24.978643,2636.194583,105.5379375,25.273188,2963.644608,117.264375,-0.1,-0.29454422,-327.4500252,-0.011654415,-0.1,0.116544152
diapers_and_hygiene,7.4209313,465.6652893,62.75025,8.836624,616.1115395,69.7225,-0.1,-1.4156928,-150.4462502,-0.16020742,-0.1,1.602074206
drinks,48.251877,2121.241386,43.96184375,48.00615,2344.932085,48.84649306,-0.1,0.24572754,-223.6906986,0.005118668,-0.1,-0.051186681
